name,shape,n_elements,mean,std,abs_max,max_sigma,n_outliers,outlier_ratio_pct,dist_3_6_pct,dist_6_10_pct,dist_10_50_pct,dist_50p_pct,g2_pct_groups_with_outlier,g2_pct_groups_with_multi_outlier,g2_avg_outliers_per_active_group,g2_victim_waste_pct,g4_pct_groups_with_outlier,g4_pct_groups_with_multi_outlier,g4_avg_outliers_per_active_group,g4_victim_waste_pct,g8_pct_groups_with_outlier,g8_pct_groups_with_multi_outlier,g8_avg_outliers_per_active_group,g8_victim_waste_pct
encoder.layer.5.intermediate.dense.weight,"(3072, 768)",2359296,4.665644e-05,0.040546272,0.5516349,13.605071,10725,0.4545847574869792,99.63636363636364,0.3356643356643357,0.027972027972027972,0.0,0.8997599283854166,0.009409586588541668,1.0104578858111928,0.4498799641927083,1.7630683051215277,0.05052354600694445,1.031349168189249,1.322301228841146,3.4105088975694446,0.1864963107638889,1.0663153708490754,2.984195285373264
encoder.layer.5.output.dense.weight,"(768, 3072)",2359296,5.8151813e-06,0.03929347,6.023455,153.29404,16139,0.6840599907769097,98.51291901604809,1.2764111778920628,0.19208129376045605,0.018588512299398972,1.3608296712239585,0.007290310329861111,1.0053572540958076,0.6804148356119792,2.690633138020833,0.044928656684027776,1.016950220541903,2.017974853515625,5.263604058159722,0.2010769314236111,1.039683050956645,4.605653550889757
encoder.layer.6.attention.self.query.weight,"(768, 768)",589824,6.366465e-05,0.042978894,0.32027495,7.4519124,2058,0.34891764322916663,99.61127308066084,0.3887269193391642,0.0,0.0,0.6968180338541667,0.0010172526041666665,1.0014598540145985,0.34840901692708337,1.384819878472222,0.010850694444444444,1.0078354554358473,1.0386149088541665,2.742513020833333,0.04747178819444444,1.0178041543026706,2.399698893229167
encoder.layer.6.attention.self.key.weight,"(768, 768)",589824,-5.16521e-05,0.04295534,0.36005646,8.382112,2111,0.3579033745659722,99.09995262908573,0.9000473709142587,0.0,0.0,0.7130940755208333,0.002712673611111111,1.0038040893961009,0.35654703776041663,1.4194064670138888,0.01220703125,1.0086000955566172,1.0645548502604165,2.8076171875,0.055609809027777776,1.019806763285024,2.4566650390625
encoder.layer.6.attention.self.value.weight,"(768, 768)",589824,2.3584718e-05,0.034042638,0.19377254,5.6920543,2927,0.4962497287326389,100.0,0.0,0.0,0.0,0.9884304470486112,0.004069010416666666,1.0041166380789022,0.4942152235243056,1.9551595052083333,0.029839409722222224,1.0152618799861255,1.46636962890625,3.8384331597222223,0.13020833333333331,1.0342756183745583,3.3586290147569446
encoder.layer.6.attention.output.dense.weight,"(768, 768)",589824,-2.8768814e-06,0.03222139,0.21602026,6.70425,3508,0.594753689236111,99.8859749144812,0.11402508551881414,0.0,0.0,1.1735704210069444,0.01593695746527778,1.013579890205143,0.5867852105034722,2.292209201388889,0.08477105034722222,1.0378698224852072,1.7191569010416667,4.395887586805555,0.3282335069444445,1.0823819808701018,3.846401638454861
encoder.layer.6.intermediate.dense.weight,"(3072, 768)",2359296,-3.4460131e-06,0.04075156,0.3509214,8.611238,10310,0.4369947645399306,99.7478176527643,0.2521823472356935,0.0,0.0,0.8675469292534722,0.006442599826388889,1.0074262263044753,0.4337734646267361,1.7093234592013888,0.03662109375,1.022614560603055,1.2819925944010415,3.3301459418402777,0.1461452907986111,1.049791263618776,2.9138776991102433
encoder.layer.6.output.dense.weight,"(768, 3072)",2359296,1.5482345e-05,0.03878861,4.8091516,123.983604,15165,0.6427764892578125,98.54929113089351,1.2594790636333664,0.1846356742499176,0.006594131223211342,1.2786865234375,0.006866455078125,1.0053699284009547,0.63934326171875,2.532619900173611,0.03814697265625,1.0151961440621236,1.8994649251302083,4.957750108506945,0.17835828993055555,1.0372067574037342,4.338031344943576
encoder.layer.7.attention.self.query.weight,"(768, 768)",589824,-5.8056416e-06,0.043357868,0.33023047,7.616391,2119,0.3592597113715278,99.66965549787635,0.33034450212364325,0.0,0.0,0.7161458333333333,0.0023735894097222225,1.003314393939394,0.35807291666666663,1.4234754774305556,0.013563368055555556,1.0095283468318246,1.0676066080729165,2.8021918402777777,0.07052951388888888,1.0256534365924492,2.451917860243056
encoder.layer.7.attention.self.key.weight,"(768, 768)",589824,-1.1958014e-05,0.043489825,0.43432617,9.986846,2152,0.3648546006944445,98.88475836431226,1.1152416356877324,0.0,0.0,0.726657443576389,0.0030517578125,1.0041997200186654,0.3633287217881945,1.4478895399305556,0.010850694444444444,1.0079625292740046,1.0859171549479165,2.872721354166667,0.04475911458333333,1.016052880075543,2.513631184895833
